split,volume_id,source_labels,labels_valid_0_1_2,tumour_containment_fraction,components_6conn,components_26conn,tiny_components_under_0_001_ml,max_consecutive_centroid_jump_vox,max_consecutive_area_ratio,shape_match,raw_affine_match,effective_affine_match_after_transform,affine_alignment_resolved,affine_resolution,roi_tumour_pixel_containment
train,0,"[0, 1, 2]",True,1.000000,11,11,0,114.469608,16.666667,True,True,True,True,numeric_match_after_approved_transform,1.000000
train,1,"[0, 1, 2]",True,1.000000,12,12,0,142.566703,12.818182,True,True,True,True,numeric_match_after_approved_transform,1.000000
train,2,"[0, 1, 2]",True,1.000000,1,1,0,3.204781,3.470588,True,True,True,True,numeric_match_after_approved_transform,1.000000
train,3,"[0, 1, 2]",True,1.000000,1,1,0,3.063692,2.116279,True,True,True,True,numeric_match_after_approved_transform,1.000000
train,4,"[0, 1, 2]",True,1.000000,34,5,23,4.230906,2.761905,True,True,True,True,numeric_match_after_approved_transform,1.000000
train,5,"[0, 1, 2]",True,1.000000,1,1,0,2.675718,3.454545,True,True,True,True,numeric_match_after_approved_transform,1.000000
train,6,"[0, 1, 2]",True,1.000000,7,7,0,47.051656,12.000000,True,True,True,True,numeric_match_after_approved_transform,1.000000
train,7,"[0, 1, 2]",True,1.000000,6,6,0,30.665653,37.750000,True,True,True,True,numeric_match_after_approved_transform,1.000000
train,8,"[0, 1, 2]",True,1.000000,7,6,1,35.368282,16.833333,True,True,True,True,numeric_match_after_approved_transform,1.000000
train,9,"[0, 1, 2]",True,1.000000,6,6,0,11.694052,7.166667,True,True,True,True,numeric_match_after_approved_transform,1.000000
train,10,"[0, 1, 2]",True,1.000000,6,6,0,13.835335,15.750000,True,True,True,True,numeric_match_after_approved_transform,1.000000
train,11,"[0, 1, 2]",True,1.000000,5,5,0,6.808391,3.461538,True,True,True,True,numeric_match_after_approved_transform,1.000000
train,12,"[0, 1, 2]",True,1.000000,1,1,0,1.020136,1.408451,True,True,True,True,numeric_match_after_approved_transform,1.000000
train,13,"[0, 1, 2]",True,1.000000,9,9,0,41.453834,3.090909,True,True,True,True,numeric_match_after_approved_transform,1.000000
train,14,"[0, 1, 2]",True,1.000000,2,1,1,5.077856,2.928571,True,True,True,True,numeric_match_after_approved_transform,1.000000
train,15,"[0, 1, 2]",True,1.000000,6,5,0,7.030102,7.250000,True,True,True,True,numeric_match_after_approved_transform,1.000000
train,16,"[0, 1, 2]",True,1.000000,13,10,1,21.560071,16.500000,True,True,True,True,numeric_match_after_approved_transform,1.000000
train,17,"[0, 1, 2]",True,1.000000,6,5,1,15.505375,18.400000,True,True,True,True,numeric_match_after_approved_transform,1.000000
train,18,"[0, 1, 2]",True,1.000000,5,4,1,40.138647,2.411765,True,True,True,True,numeric_match_after_approved_transform,1.000000
train,19,"[0, 1, 2]",True,1.000000,7,6,1,21.669709,5.600000,True,True,True,True,numeric_match_after_approved_transform,1.000000
train,20,"[0, 1, 2]",True,1.000000,6,3,1,25.323161,33.000000,True,True,True,True,numeric_match_after_approved_transform,1.000000
train,21,"[0, 1, 2]",True,1.000000,5,5,0,26.415567,4.888889,True,True,True,True,numeric_match_after_approved_transform,1.000000
train,22,"[0, 1, 2]",True,1.000000,1,1,0,6.083188,7.736842,True,True,True,True,numeric_match_after_approved_transform,1.000000
train,23,"[0, 1, 2]",True,1.000000,1,1,0,9.781774,4.000000,True,True,True,True,numeric_match_after_approved_transform,1.000000
train,24,"[0, 1, 2]",True,1.000000,1,1,0,1.610995,2.987342,True,True,True,True,numeric_match_after_approved_transform,1.000000
train,25,"[0, 1, 2]",True,1.000000,1,1,0,6.462104,4.714286,True,True,True,True,numeric_match_after_approved_transform,1.000000
train,26,"[0, 1, 2]",True,1.000000,9,7,1,11.985211,3.804348,True,True,True,True,numeric_match_after_approved_transform,1.000000
train,27,"[0, 1, 2]",True,1.000000,12,11,1,25.883236,3.000000,True,True,True,True,numeric_match_after_approved_transform,1.000000
train,28,"[0, 1, 2]",True,1.000000,7,7,0,40.533731,5.217949,True,True,True,True,numeric_match_after_approved_transform,1.000000
train,29,"[0, 1, 2]",True,1.000000,1,1,0,3.937751,2.373333,True,True,True,True,numeric_match_after_approved_transform,1.000000
train,30,"[0, 1, 2]",True,1.000000,1,1,0,6.788240,1.913043,True,True,True,True,numeric_match_after_approved_transform,1.000000
train,31,"[0, 1, 2]",True,1.000000,8,8,0,66.632585,4.200000,True,True,True,True,numeric_match_after_approved_transform,1.000000
train,32,"[0, 1]",True,,0,0,0,,,True,True,True,True,numeric_match_after_approved_transform,
train,33,"[0, 1, 2]",True,1.000000,15,15,0,16.369033,4.015957,True,True,True,True,numeric_match_after_approved_transform,1.000000
train,34,"[0, 1]",True,,0,0,0,,,True,True,True,True,numeric_match_after_approved_transform,
train,35,"[0, 1, 2]",True,1.000000,4,3,0,63.670752,4.103448,True,True,True,True,numeric_match_after_approved_transform,1.000000
train,36,"[0, 1, 2]",True,1.000000,2,2,0,5.272054,1.922330,True,True,True,True,numeric_match_after_approved_transform,1.000000
train,37,"[0, 1, 2]",True,1.000000,8,8,0,86.166391,4.785714,True,True,True,True,numeric_match_after_approved_transform,1.000000
train,38,"[0, 1]",True,,0,0,0,,,True,True,True,True,numeric_match_after_approved_transform,
train,39,"[0, 1, 2]",True,1.000000,1,1,0,5.879152,2.184874,True,True,True,True,numeric_match_after_approved_transform,1.000000
train,40,"[0, 1, 2]",True,1.000000,18,17,0,58.222470,2.433333,True,True,True,True,numeric_match_after_approved_transform,1.000000
train,41,"[0, 1]",True,,0,0,0,,,True,True,True,True,numeric_match_after_approved_transform,
train,42,"[0, 1, 2]",True,1.000000,2,2,0,15.998365,1.707965,True,True,True,True,numeric_match_after_approved_transform,1.000000
train,43,"[0, 1, 2]",True,1.000000,1,1,0,3.546497,7.700000,True,True,True,True,numeric_match_after_approved_transform,1.000000
train,44,"[0, 1, 2]",True,1.000000,2,2,0,27.029719,4.508333,True,True,True,True,numeric_match_after_approved_transform,1.000000
train,45,"[0, 1, 2]",True,1.000000,1,1,0,4.816747,4.090909,True,True,True,True,numeric_match_after_approved_transform,1.000000
train,46,"[0, 1, 2]",True,1.000000,50,48,0,40.634743,2.664671,True,True,True,True,numeric_match_after_approved_transform,1.000000
train,47,"[0, 1]",True,,0,0,0,,,True,True,True,True,numeric_match_after_approved_transform,
train,48,"[0, 1, 2]",True,1.000000,4,4,0,5.100765,1.615523,True,False,False,True,manual_spatial_approval_header_mismatch,1.000000
train,49,"[0, 1, 2]",True,1.000000,22,22,0,76.617729,5.787879,True,False,False,True,manual_spatial_approval_header_mismatch,1.000000
train,50,"[0, 1, 2]",True,1.000000,1,1,0,4.382739,1.008493,True,False,False,True,manual_spatial_approval_header_mismatch,1.000000
train,51,"[0, 1, 2]",True,1.000000,11,10,0,31.072406,5.489474,True,False,False,True,manual_spatial_approval_header_mismatch,1.000000
train,52,"[0, 1, 2]",True,1.000000,2,2,0,8.122637,3.728155,True,False,False,True,manual_spatial_approval_header_mismatch,1.000000
train,53,"[0, 1, 2]",True,1.000000,2,2,0,6.423739,2.526786,True,True,True,True,numeric_match_after_approved_transform,1.000000
train,54,"[0, 1, 2]",True,1.000000,1,1,0,1.921730,1.544000,True,True,True,True,numeric_match_after_approved_transform,1.000000
train,55,"[0, 1, 2]",True,1.000000,1,1,0,8.010224,4.405594,True,True,True,True,numeric_match_after_approved_transform,1.000000
train,56,"[0, 1, 2]",True,1.000000,2,2,0,31.464552,43.700000,True,True,True,True,numeric_match_after_approved_transform,1.000000
train,57,"[0, 1, 2]",True,1.000000,2,2,0,2.206176,35.500000,True,True,True,True,numeric_match_after_approved_transform,1.000000
train,58,"[0, 1, 2]",True,1.000000,5,5,0,28.113276,9.181818,True,True,True,True,numeric_match_after_approved_transform,1.000000
train,59,"[0, 1, 2]",True,1.000000,1,1,0,2.738975,1.418033,True,True,True,True,numeric_match_after_approved_transform,1.000000
train,60,"[0, 1, 2]",True,1.000000,1,1,0,2.687843,3.280000,True,True,True,True,numeric_match_after_approved_transform,1.000000
train,61,"[0, 1, 2]",True,1.000000,2,2,0,4.405000,1.554795,True,True,True,True,numeric_match_after_approved_transform,1.000000
