volume_id,severity,failure_type,recommended_action,evidence
83,critical,in_plane_orientation_mismatch,rebuild organ and tumor masks with rot180 in a new build,organ_intensity_delta=61.93; nonair_delta=0.175
84,critical,in_plane_orientation_mismatch,rebuild organ and tumor masks with rot180 in a new build,organ_intensity_delta=58.69; nonair_delta=0.106
85,critical,in_plane_orientation_mismatch,rebuild organ and tumor masks with rot180 in a new build,organ_intensity_delta=50.17; nonair_delta=0.047
86,critical,in_plane_orientation_mismatch,rebuild organ and tumor masks with rot180 in a new build,organ_intensity_delta=79.92; nonair_delta=0.237
87,critical,in_plane_orientation_mismatch,rebuild organ and tumor masks with rot180 in a new build,organ_intensity_delta=68.42; nonair_delta=0.006
88,critical,in_plane_orientation_mismatch,rebuild organ and tumor masks with rot180 in a new build,organ_intensity_delta=94.07; nonair_delta=0.241
89,critical,in_plane_orientation_mismatch,rebuild organ and tumor masks with rot180 in a new build,organ_intensity_delta=83.50; nonair_delta=0.152
90,critical,in_plane_orientation_mismatch,rebuild organ and tumor masks with rot180 in a new build,organ_intensity_delta=59.60; nonair_delta=0.181
91,critical,in_plane_orientation_mismatch,rebuild organ and tumor masks with rot180 in a new build,organ_intensity_delta=72.88; nonair_delta=0.017
92,critical,in_plane_orientation_mismatch,rebuild organ and tumor masks with rot180 in a new build,organ_intensity_delta=94.00; nonair_delta=0.236
93,critical,in_plane_orientation_mismatch,rebuild organ and tumor masks with rot180 in a new build,organ_intensity_delta=36.80; nonair_delta=0.155
94,critical,in_plane_orientation_mismatch,rebuild organ and tumor masks with rot180 in a new build,organ_intensity_delta=58.40; nonair_delta=0.066
95,critical,in_plane_orientation_mismatch,rebuild organ and tumor masks with rot180 in a new build,organ_intensity_delta=26.82; nonair_delta=0.054
96,critical,in_plane_orientation_mismatch,rebuild organ and tumor masks with rot180 in a new build,organ_intensity_delta=69.69; nonair_delta=0.082
97,critical,in_plane_orientation_mismatch,rebuild organ and tumor masks with rot180 in a new build,organ_intensity_delta=57.35; nonair_delta=0.101
98,critical,in_plane_orientation_mismatch,rebuild organ and tumor masks with rot180 in a new build,organ_intensity_delta=68.82; nonair_delta=0.102
99,critical,in_plane_orientation_mismatch,rebuild organ and tumor masks with rot180 in a new build,organ_intensity_delta=84.41; nonair_delta=0.086
101,critical,in_plane_orientation_mismatch,rebuild organ and tumor masks with rot180 in a new build,organ_intensity_delta=74.11; nonair_delta=0.205
102,critical,in_plane_orientation_mismatch,rebuild organ and tumor masks with rot180 in a new build,organ_intensity_delta=65.61; nonair_delta=0.179
103,critical,in_plane_orientation_mismatch,rebuild organ and tumor masks with rot180 in a new build,organ_intensity_delta=88.38; nonair_delta=0.259
104,critical,in_plane_orientation_mismatch,rebuild organ and tumor masks with rot180 in a new build,organ_intensity_delta=54.13; nonair_delta=0.235
105,critical,in_plane_orientation_mismatch,rebuild organ and tumor masks with rot180 in a new build,organ_intensity_delta=76.94; nonair_delta=0.211
106,critical,in_plane_orientation_mismatch,rebuild organ and tumor masks with rot180 in a new build,organ_intensity_delta=43.48; nonair_delta=0.301
107,critical,in_plane_orientation_mismatch,rebuild organ and tumor masks with rot180 in a new build,organ_intensity_delta=68.63; nonair_delta=0.122
