study_role,citation_key,year,title,direct_lits,theme,method_family,dimensionality,dataset_scope,evaluation_scope,reported_metric_text,metric_population,postprocessing,evidence_use,claim_boundary
current study,CurrentStudy,2026,Current frozen two-checkpoint maximum-fusion study,True,frozen fusion and failure reporting,two MobileNetV2 U-Nets; pixelwise maximum fusion,2D within predicted-liver ROI,corrected LiTS build; custom patient-disjoint split,one-time held-out 14-volume test; 13 tumour-positive patients,Mean positive-patient Dice 0.5073 (95% bootstrap interval 0.3442–0.6594); global Dice 0.7677,mean over tumour-positive patients plus global pixel aggregation,none,Current study,Formal model acceptance failed because V121 missed the minimum-patient floor.
external primary source,Bilic2023LiTS,2023,The Liver Tumor Segmentation Benchmark (LiTS),True,benchmark and evaluation,multi-method benchmark,mixed,LiTS benchmark,challenge benchmark,No single comparator value extracted for ranking,multiple challenge metrics and submissions,varies by submission,Dataset benchmark context and evaluation heterogeneity,Do not treat benchmark ranks as directly comparable to this custom split.
external primary source,Christ2017CFCN,2017,Automatic Liver and Tumor Segmentation of CT and MRI Volumes Using Cascaded Fully Convolutional Neural Networks,True,cascaded ROI segmentation,cascaded FCN,2D with volumetric pipeline,liver CT/MRI including LiTS-era data,study-specific,Not extracted for cross-study ranking,study-specific,pipeline-specific,Lineage for liver-first then tumour segmentation,Architecture lineage only; protocol is not identical.
external primary source,Chlebus2018ObjectPost,2018,Automatic liver tumor segmentation in CT with fully convolutional neural networks and object-based postprocessing,True,false-positive control,FCN plus object post-processing,2D/3D object pipeline,LiTS challenge test set,70 challenge test cases,Mean Dice 0.65 on challenge test; object post-processing reduced false positives by 85%,challenge-defined / object-aware reporting,random-forest object filtering,Shows sensitivity to explicit false-positive post-processing,Not comparable to this no-post-processing frozen policy.
external primary source,Li2018HDenseUNet,2018,H-DenseUNet: Hybrid Densely Connected UNet for Liver and Tumor Segmentation From CT Volumes,True,2D/3D context fusion,hybrid dense U-Net,hybrid 2D/3D,LiTS,challenge-style evaluation,Tumour Dice values are study/challenge-protocol specific; excluded from ranking here,per-case/global definitions differ from current primary endpoint,study-specific,Representative hybrid volumetric-context method,Do not compare reported challenge Dice directly to mean positive-patient Dice.
external primary source,Jin2020RAUNet,2020,RA-UNet: A Hybrid Deep Attention-Aware Network to Extract Liver and Tumor in CT Scans,True,attention and 3D context,residual attention U-Net,3D,LiTS and 3DIRCADb,official LiTS-style and external dataset experiments,LiTS tumour Dice per case 0.595; Dice global 0.795,paper-defined per-case and global Dice,paper-specific pipeline,Representative attention-aware volumetric model with both per-case and global reporting,Values illustrate aggregation dependence; they are not a head-to-head comparison.
external primary source,Isensee2021nnUNet,2021,nnU-Net: a self-configuring method for deep learning-based biomedical image segmentation,False,self-configuring baseline,self-configuring U-Net framework,2D and 3D ensembles,23 biomedical segmentation datasets,cross-task benchmarking,No LiTS-specific value extracted for ranking,dataset-specific benchmark metrics,automatically configured where applicable,Strong reproducible baseline framework for future governed comparisons,Not evaluated under this project's corrected split and frozen policy.
external primary source,Ronneberger2015UNet,2015,U-Net: Convolutional Networks for Biomedical Image Segmentation,False,architecture lineage,U-Net,2D,microscopy,task-specific,Not a LiTS comparator,task-specific,task-specific,Decoder/skip-connection architecture lineage,Foundational architecture citation only.
external primary source,Cicek2016ThreeDUNet,2016,3D U-Net: Learning Dense Volumetric Segmentation from Sparse Annotation,False,volumetric context,3D U-Net,3D,Xenopus kidney microscopy,task-specific,Not a LiTS comparator,task-specific,task-specific,Volumetric segmentation lineage,Motivates 3D context; not evidence of LiTS performance.
external primary source,Sudre2017GeneralizedDice,2017,Generalised Dice overlap as a deep learning loss function for highly unbalanced segmentations,False,class imbalance,loss function,general,imbalanced segmentation tasks,method study,Not a LiTS comparator,task-specific,not central,Loss-design context for severe foreground imbalance,Does not validate the current recall-loss checkpoint independently.
external primary source,Oktay2018AttentionUNet,2018,Attention U-Net: Learning Where to Look for the Pancreas,False,attention mechanisms,attention U-Net,2D/3D formulation,pancreas CT,task-specific,Not a LiTS comparator,task-specific,study-specific,Attention-gate lineage for organ/lesion localization,"Different anatomy, cohort, and protocol."
external primary source,MaierHein2018Rankings,2018,Why rankings of biomedical image analysis competitions should be interpreted with care,False,evaluation validity,challenge meta-research,not applicable,biomedical image-analysis challenges,ranking stability analysis,"Rankings can vary with test cases, metrics, aggregation, and observers",multi-challenge methodological analysis,not applicable,Justifies explicit no-leaderboard comparability rule,"Supports caution, not a performance comparison."
external primary source,Sandler2018MobileNetV2,2018,MobileNetV2: Inverted Residuals and Linear Bottlenecks,False,efficient encoder,MobileNetV2,2D,natural-image classification/detection,task-specific,Not a LiTS comparator,computer-vision task metrics,not applicable,Encoder architecture provenance,Architecture citation only; no medical-performance implication.
external primary source,Tejani2024CLAIM,2024,Checklist for Artificial Intelligence in Medical Imaging (CLAIM): 2024 Update,False,reporting governance,reporting checklist,not applicable,medical imaging AI,reporting framework,No performance comparator,not applicable,not applicable,Reporting completeness and transparent governance,Reporting guidance is not evidence of clinical validity.
