phase,signature_file,schema,mapped_artifacts,passed,note
step_03_final_inference_policy_freeze,freeze_signature.json,metadata_only,0,True,no expandable signed_artifacts map
step_04_one_time_locked_test_evaluation_after_explicit_authorization,final_test_signature.json,metadata_only,0,True,no expandable signed_artifacts map
step_05_final_research_package,final_package_signature.json,metadata_only,0,True,no expandable signed_artifacts map
step_06_manuscript_submission_readiness_and_archive,final_archive_signature.json,signed_artifacts_map,6,True,current signature independently rehashed
step_07_manuscript_evidence_and_declaration_scaffold,step_07_signature.json,signed_artifacts_map,5,True,current signature independently rehashed
step_08_venue_selection_and_owner_intake,step_08_signature.json,signed_artifacts_map,6,True,current signature independently rehashed
step_09_internal_peer_review_and_claim_consistency,step_09_signature.json,signed_artifacts_map,6,True,current signature independently rehashed
step_10_related_work_evidence_and_comparability,step_10_signature.json,signed_artifacts_map,16,True,current signature independently rehashed
step_11_owner_submission_gate_and_finalization_handoff,step_11_signature.json,signed_artifacts_map,12,True,current signature independently rehashed
step_12_public_external_dataset_audit_and_acquisition_plan,step_12_signature.json,signed_artifacts_map,15,True,current signature independently rehashed
step_13_3d_ircadb_ingestion_and_qc,step_13_signature.json,signed_artifacts_map,16,True,current signature independently rehashed
step_14_3d_ircadb_normalized_conversion_and_parity_qc,step_14_signature.json,signed_artifacts_map,14,True,current signature independently rehashed
step_15_frozen_external_evaluation_contract,step_15_signature.json,signed_artifacts_map,14,True,current signature independently rehashed
step_16_one_time_external_evaluation_after_explicit_authorization,preflight_signature.json,signed_artifacts_map,6,True,superseded pre-authorization snapshot; mismatch preserved as historical evidence
step_16_one_time_external_evaluation_after_explicit_authorization,step_16_signature.json,signed_artifacts_map,18,True,current signature independently rehashed
step_17_external_evaluation_evidence_validation_and_data_card,step_17_signature.json,signed_artifacts_map,16,True,current signature independently rehashed
step_18_source_label_concordance_and_failure_adjudication,step_18_signature.json,signed_artifacts_map,12,True,current signature independently rehashed
step_19_external_evidence_manuscript_integration,step_19_signature.json,signed_artifacts_map,17,True,current signature independently rehashed
step_20_external_citation_verification_and_owner_readiness,step_20_signature.json,signed_artifacts_map,13,True,current signature independently rehashed
