step,phase,output_files,output_bytes,notebooks,readme_exists,error_log_exists
1,step_01_pretraining_dataset_characterization,37,6262908,1,True,True
2,step_02_fusion_freeze_confirmation,38,14894925,1,True,True
3,step_03_final_inference_policy_freeze,17,100747,1,True,True
4,step_04_one_time_locked_test_evaluation_after_explicit_authorization,42,15643861,1,True,True
5,step_05_final_research_package,23,461400,1,True,True
6,step_06_manuscript_submission_readiness_and_archive,15,117906,1,True,True
7,step_07_manuscript_evidence_and_declaration_scaffold,18,79918,1,True,True
8,step_08_venue_selection_and_owner_intake,17,89724,1,True,True
9,step_09_internal_peer_review_and_claim_consistency,20,108648,1,True,True
10,step_10_related_work_evidence_and_comparability,18,225581,1,True,True
11,step_11_owner_submission_gate_and_finalization_handoff,13,134335,1,True,True
12,step_12_public_external_dataset_audit_and_acquisition_plan,16,107331,2,True,True
13,step_13_3d_ircadb_ingestion_and_qc,34360,12999751213,2,True,True
14,step_14_3d_ircadb_normalized_conversion_and_parity_qc,75,967990726,2,True,True
15,step_15_frozen_external_evaluation_contract,15,143640,2,True,True
16,step_16_one_time_external_evaluation_after_explicit_authorization,44,5487966,2,True,True
17,step_17_external_evaluation_evidence_validation_and_data_card,17,654740,2,True,True
18,step_18_source_label_concordance_and_failure_adjudication,13,657186,2,True,True
19,step_19_external_evidence_manuscript_integration,18,174560,2,True,True
20,step_20_external_citation_verification_and_owner_readiness,14,21655,2,True,True
