phase,signature_file,artifact,resolved_path,exists,expected_sha256,actual_sha256,hash_matches,superseded_preflight,effective_pass
step_06_manuscript_submission_readiness_and_archive,final_archive_signature.json,step_05_final_research_package/outputs/FINAL_TECHNICAL_REPORT.md,D:\DATA SCIENCE AND ANALYTICS\PROJECTS\Liver\mark 1 (part 2)\step_05_final_research_package\outputs\FINAL_TECHNICAL_REPORT.md,True,b02d12069f437b4438b877e3accb46294e7f2c3904dcc54bd99824db126b30cb,b02d12069f437b4438b877e3accb46294e7f2c3904dcc54bd99824db126b30cb,True,False,True
step_06_manuscript_submission_readiness_and_archive,final_archive_signature.json,step_05_final_research_package/outputs/PAPER_DRAFT.md,D:\DATA SCIENCE AND ANALYTICS\PROJECTS\Liver\mark 1 (part 2)\step_05_final_research_package\outputs\PAPER_DRAFT.md,True,d3d23c24a870c16b7e373d00812c7e941437394bf0f63c140242b3d96b9454f3,d3d23c24a870c16b7e373d00812c7e941437394bf0f63c140242b3d96b9454f3,True,False,True
step_06_manuscript_submission_readiness_and_archive,final_archive_signature.json,step_05_final_research_package/outputs/final_package_signature.json,D:\DATA SCIENCE AND ANALYTICS\PROJECTS\Liver\mark 1 (part 2)\step_05_final_research_package\outputs\final_package_signature.json,True,ebfa0d9ed78391cc077c8a6dc1f78d5afc226e6d00ec8f1261002e07c97f2986,ebfa0d9ed78391cc077c8a6dc1f78d5afc226e6d00ec8f1261002e07c97f2986,True,False,True
step_06_manuscript_submission_readiness_and_archive,final_archive_signature.json,step_05_final_research_package/outputs/gate_result.json,D:\DATA SCIENCE AND ANALYTICS\PROJECTS\Liver\mark 1 (part 2)\step_05_final_research_package\outputs\gate_result.json,True,3d3921fd3447312d82fefc3ecd3cee8436109faa5e24b0f878f15bc401de7d6e,3d3921fd3447312d82fefc3ecd3cee8436109faa5e24b0f878f15bc401de7d6e,True,False,True
step_06_manuscript_submission_readiness_and_archive,final_archive_signature.json,step_06_manuscript_submission_readiness_and_archive/outputs/archive_manifest.csv,D:\DATA SCIENCE AND ANALYTICS\PROJECTS\Liver\mark 1 (part 2)\step_06_manuscript_submission_readiness_and_archive\outputs\archive_manifest.csv,True,9b9ca38aa97c5dd5299d938d427a545713c39ae6332bd4d186150a4a53730577,9b9ca38aa97c5dd5299d938d427a545713c39ae6332bd4d186150a4a53730577,True,False,True
step_06_manuscript_submission_readiness_and_archive,final_archive_signature.json,step_06_manuscript_submission_readiness_and_archive/outputs/gate_result.json,D:\DATA SCIENCE AND ANALYTICS\PROJECTS\Liver\mark 1 (part 2)\step_06_manuscript_submission_readiness_and_archive\outputs\gate_result.json,True,bbb00cf2f3740b0dc72ff59077a89ee7f9a71238865c885923696e45fb2eff83,bbb00cf2f3740b0dc72ff59077a89ee7f9a71238865c885923696e45fb2eff83,True,False,True
step_07_manuscript_evidence_and_declaration_scaffold,step_07_signature.json,step_06_manuscript_submission_readiness_and_archive/outputs/final_archive_signature.json,D:\DATA SCIENCE AND ANALYTICS\PROJECTS\Liver\mark 1 (part 2)\step_06_manuscript_submission_readiness_and_archive\outputs\final_archive_signature.json,True,9c027b16f9253c2fe5a226a491ca79c52cad73bd0049e95e8d8debd756eb37a5,9c027b16f9253c2fe5a226a491ca79c52cad73bd0049e95e8d8debd756eb37a5,True,False,True
step_07_manuscript_evidence_and_declaration_scaffold,step_07_signature.json,step_07_manuscript_evidence_and_declaration_scaffold/outputs/PAPER_DRAFT_WITH_CITATION_KEYS.md,D:\DATA SCIENCE AND ANALYTICS\PROJECTS\Liver\mark 1 (part 2)\step_07_manuscript_evidence_and_declaration_scaffold\outputs\PAPER_DRAFT_WITH_CITATION_KEYS.md,True,a663e31d13a2277b41bb3b310ad1d6040c16dbac9f4448c2a019f277fc79a64d,a663e31d13a2277b41bb3b310ad1d6040c16dbac9f4448c2a019f277fc79a64d,True,False,True
step_07_manuscript_evidence_and_declaration_scaffold,step_07_signature.json,step_07_manuscript_evidence_and_declaration_scaffold/outputs/claim_2024_alignment_gap_map.csv,D:\DATA SCIENCE AND ANALYTICS\PROJECTS\Liver\mark 1 (part 2)\step_07_manuscript_evidence_and_declaration_scaffold\outputs\claim_2024_alignment_gap_map.csv,True,92b7097069859a8db0d94cd7ac2957e7e7c1024a3e5a0915f80368dba1bb33aa,92b7097069859a8db0d94cd7ac2957e7e7c1024a3e5a0915f80368dba1bb33aa,True,False,True
step_07_manuscript_evidence_and_declaration_scaffold,step_07_signature.json,step_07_manuscript_evidence_and_declaration_scaffold/outputs/gate_result.json,D:\DATA SCIENCE AND ANALYTICS\PROJECTS\Liver\mark 1 (part 2)\step_07_manuscript_evidence_and_declaration_scaffold\outputs\gate_result.json,True,199ede841ea82a881274516c5d07672faedd81dc9b2bc9f2de824ccd19ce0608,199ede841ea82a881274516c5d07672faedd81dc9b2bc9f2de824ccd19ce0608,True,False,True
step_07_manuscript_evidence_and_declaration_scaffold,step_07_signature.json,step_07_manuscript_evidence_and_declaration_scaffold/outputs/reference_evidence.csv,D:\DATA SCIENCE AND ANALYTICS\PROJECTS\Liver\mark 1 (part 2)\step_07_manuscript_evidence_and_declaration_scaffold\outputs\reference_evidence.csv,True,4e90e4fea545fbc838cd351e2db8f6b53006a44d136f44c2c6d4c6ce80ad4d4c,4e90e4fea545fbc838cd351e2db8f6b53006a44d136f44c2c6d4c6ce80ad4d4c,True,False,True
step_08_venue_selection_and_owner_intake,step_08_signature.json,step_07_manuscript_evidence_and_declaration_scaffold/outputs/step_07_signature.json,D:\DATA SCIENCE AND ANALYTICS\PROJECTS\Liver\mark 1 (part 2)\step_07_manuscript_evidence_and_declaration_scaffold\outputs\step_07_signature.json,True,6a5303f99239b72546e8b91b1c1ed77437cf44ad822a9b6067a10c6363f04856,6a5303f99239b72546e8b91b1c1ed77437cf44ad822a9b6067a10c6363f04856,True,False,True
step_08_venue_selection_and_owner_intake,step_08_signature.json,step_08_venue_selection_and_owner_intake/outputs/VENUE_DECISION_REPORT.md,D:\DATA SCIENCE AND ANALYTICS\PROJECTS\Liver\mark 1 (part 2)\step_08_venue_selection_and_owner_intake\outputs\VENUE_DECISION_REPORT.md,True,fb29a19f2e8646c50e4ed8f749e7f55bf30190ced1e14895035b2a5deab965e9,fb29a19f2e8646c50e4ed8f749e7f55bf30190ced1e14895035b2a5deab965e9,True,False,True
step_08_venue_selection_and_owner_intake,step_08_signature.json,step_08_venue_selection_and_owner_intake/outputs/gate_result.json,D:\DATA SCIENCE AND ANALYTICS\PROJECTS\Liver\mark 1 (part 2)\step_08_venue_selection_and_owner_intake\outputs\gate_result.json,True,6bba56fde5686ca1467d2331217b29af28a98d99b53afac600a9f20d03412a3c,6bba56fde5686ca1467d2331217b29af28a98d99b53afac600a9f20d03412a3c,True,False,True
step_08_venue_selection_and_owner_intake,step_08_signature.json,step_08_venue_selection_and_owner_intake/outputs/venue_score_breakdown.csv,D:\DATA SCIENCE AND ANALYTICS\PROJECTS\Liver\mark 1 (part 2)\step_08_venue_selection_and_owner_intake\outputs\venue_score_breakdown.csv,True,337aea8dcafb36f83ee8485310ea594f0f82cc107f6d06b8d1d187df5ad4d5ae,337aea8dcafb36f83ee8485310ea594f0f82cc107f6d06b8d1d187df5ad4d5ae,True,False,True
step_08_venue_selection_and_owner_intake,step_08_signature.json,step_08_venue_selection_and_owner_intake/outputs/venue_shortlist.csv,D:\DATA SCIENCE AND ANALYTICS\PROJECTS\Liver\mark 1 (part 2)\step_08_venue_selection_and_owner_intake\outputs\venue_shortlist.csv,True,fb54422bf9a715f77b6cda25041a0ef5a9d66c59211e9416cc4250aa1b3f3fd3,fb54422bf9a715f77b6cda25041a0ef5a9d66c59211e9416cc4250aa1b3f3fd3,True,False,True
step_08_venue_selection_and_owner_intake,step_08_signature.json,step_08_venue_selection_and_owner_intake/outputs/venue_source_and_candidate_matrix.csv,D:\DATA SCIENCE AND ANALYTICS\PROJECTS\Liver\mark 1 (part 2)\step_08_venue_selection_and_owner_intake\outputs\venue_source_and_candidate_matrix.csv,True,1bb215563371189cdbbdd3829b2d423b01c72d7969bf7e3c271ecd90fad2bdf8,1bb215563371189cdbbdd3829b2d423b01c72d7969bf7e3c271ecd90fad2bdf8,True,False,True
step_09_internal_peer_review_and_claim_consistency,step_09_signature.json,step_08_venue_selection_and_owner_intake/outputs/step_08_signature.json,D:\DATA SCIENCE AND ANALYTICS\PROJECTS\Liver\mark 1 (part 2)\step_08_venue_selection_and_owner_intake\outputs\step_08_signature.json,True,f5377c14d604975cb6182a6bf99229db90848f36144e5c2f9722b42227eca3fa,f5377c14d604975cb6182a6bf99229db90848f36144e5c2f9722b42227eca3fa,True,False,True
step_09_internal_peer_review_and_claim_consistency,step_09_signature.json,step_09_internal_peer_review_and_claim_consistency/outputs/INTERNAL_PEER_REVIEW_REPORT.md,D:\DATA SCIENCE AND ANALYTICS\PROJECTS\Liver\mark 1 (part 2)\step_09_internal_peer_review_and_claim_consistency\outputs\INTERNAL_PEER_REVIEW_REPORT.md,True,0b4b53e1def7360985ccf24357ef352691cc9b3787e76fed29379ccb8081fed6,0b4b53e1def7360985ccf24357ef352691cc9b3787e76fed29379ccb8081fed6,True,False,True
step_09_internal_peer_review_and_claim_consistency,step_09_signature.json,step_09_internal_peer_review_and_claim_consistency/outputs/PAPER_DRAFT_SCIENTIFICALLY_REVISED.md,D:\DATA SCIENCE AND ANALYTICS\PROJECTS\Liver\mark 1 (part 2)\step_09_internal_peer_review_and_claim_consistency\outputs\PAPER_DRAFT_SCIENTIFICALLY_REVISED.md,True,9f1e73d2e444b5445b0084f4d671d808461c070b88cb086c597702ae94aab4f5,9f1e73d2e444b5445b0084f4d671d808461c070b88cb086c597702ae94aab4f5,True,False,True
step_09_internal_peer_review_and_claim_consistency,step_09_signature.json,step_09_internal_peer_review_and_claim_consistency/outputs/gate_result.json,D:\DATA SCIENCE AND ANALYTICS\PROJECTS\Liver\mark 1 (part 2)\step_09_internal_peer_review_and_claim_consistency\outputs\gate_result.json,True,0912c6abc9353e740a5ec0bfb6ce1416216451db4f0e8185e978d9450463c56f,0912c6abc9353e740a5ec0bfb6ce1416216451db4f0e8185e978d9450463c56f,True,False,True
step_09_internal_peer_review_and_claim_consistency,step_09_signature.json,step_09_internal_peer_review_and_claim_consistency/outputs/method_claim_reconciliation.csv,D:\DATA SCIENCE AND ANALYTICS\PROJECTS\Liver\mark 1 (part 2)\step_09_internal_peer_review_and_claim_consistency\outputs\method_claim_reconciliation.csv,True,41f4f5fb5ebfef436ba6be8b8d40901b935c011cc2deac25d79df6fed91aef9e,41f4f5fb5ebfef436ba6be8b8d40901b935c011cc2deac25d79df6fed91aef9e,True,False,True
step_09_internal_peer_review_and_claim_consistency,step_09_signature.json,step_09_internal_peer_review_and_claim_consistency/outputs/numerical_claim_reconciliation.csv,D:\DATA SCIENCE AND ANALYTICS\PROJECTS\Liver\mark 1 (part 2)\step_09_internal_peer_review_and_claim_consistency\outputs\numerical_claim_reconciliation.csv,True,059ca940aeac0b07491e6167d130eca408a7e20e9ebff595c447703fc0b80d3a,059ca940aeac0b07491e6167d130eca408a7e20e9ebff595c447703fc0b80d3a,True,False,True
step_10_related_work_evidence_and_comparability,step_10_signature.json,step_10_related_work_evidence_and_comparability/outputs/COMPARABILITY_AND_CLAIM_BOUNDARIES.md,D:\DATA SCIENCE AND ANALYTICS\PROJECTS\Liver\mark 1 (part 2)\step_10_related_work_evidence_and_comparability\outputs\COMPARABILITY_AND_CLAIM_BOUNDARIES.md,True,c34db383a3b532f3292d5082167f84e83168c9aa08d0952a15d19b91ddf5d9f9,c34db383a3b532f3292d5082167f84e83168c9aa08d0952a15d19b91ddf5d9f9,True,False,True
step_10_related_work_evidence_and_comparability,step_10_signature.json,step_10_related_work_evidence_and_comparability/outputs/PAPER_DRAFT_WITH_EXPANDED_RELATED_WORK.md,D:\DATA SCIENCE AND ANALYTICS\PROJECTS\Liver\mark 1 (part 2)\step_10_related_work_evidence_and_comparability\outputs\PAPER_DRAFT_WITH_EXPANDED_RELATED_WORK.md,True,9fdb27e48e1e041c82bc3ea44cbdf28791109411d8999db6f707cf4d684d2e80,9fdb27e48e1e041c82bc3ea44cbdf28791109411d8999db6f707cf4d684d2e80,True,False,True
step_10_related_work_evidence_and_comparability,step_10_signature.json,step_10_related_work_evidence_and_comparability/outputs/RELATED_WORK_DRAFT.md,D:\DATA SCIENCE AND ANALYTICS\PROJECTS\Liver\mark 1 (part 2)\step_10_related_work_evidence_and_comparability\outputs\RELATED_WORK_DRAFT.md,True,a0c82c9274e2f5998b9c29279de7d85ea77660459f6c2108eb565ff0fe4929fb,a0c82c9274e2f5998b9c29279de7d85ea77660459f6c2108eb565ff0fe4929fb,True,False,True
