citation_key,same_dataset_family,exact_split_aligned,metric_population_aligned,postprocessing_aligned,inclusion_rules_aligned,comparability_score_0_to_5,comparability_level,quantitative_ranking_allowed,reason
Bilic2023LiTS,True,False,False,False,False,1,limited,False,"No external paper matches the corrected split, endpoint population, frozen ROI/fusion policy, and inclusion rules."
Christ2017CFCN,True,False,False,False,False,1,limited,False,"No external paper matches the corrected split, endpoint population, frozen ROI/fusion policy, and inclusion rules."
Chlebus2018ObjectPost,True,False,False,False,False,1,limited,False,"No external paper matches the corrected split, endpoint population, frozen ROI/fusion policy, and inclusion rules."
Li2018HDenseUNet,True,False,False,False,False,1,limited,False,"No external paper matches the corrected split, endpoint population, frozen ROI/fusion policy, and inclusion rules."
Jin2020RAUNet,True,False,False,False,False,1,limited,False,"No external paper matches the corrected split, endpoint population, frozen ROI/fusion policy, and inclusion rules."
Isensee2021nnUNet,False,False,False,False,False,0,context only,False,"No external paper matches the corrected split, endpoint population, frozen ROI/fusion policy, and inclusion rules."
Ronneberger2015UNet,False,False,False,False,False,0,context only,False,"No external paper matches the corrected split, endpoint population, frozen ROI/fusion policy, and inclusion rules."
Cicek2016ThreeDUNet,False,False,False,False,False,0,context only,False,"No external paper matches the corrected split, endpoint population, frozen ROI/fusion policy, and inclusion rules."
Sudre2017GeneralizedDice,False,False,False,False,False,0,context only,False,"No external paper matches the corrected split, endpoint population, frozen ROI/fusion policy, and inclusion rules."
Oktay2018AttentionUNet,False,False,False,False,False,0,context only,False,"No external paper matches the corrected split, endpoint population, frozen ROI/fusion policy, and inclusion rules."
MaierHein2018Rankings,False,False,False,False,False,0,context only,False,"No external paper matches the corrected split, endpoint population, frozen ROI/fusion policy, and inclusion rules."
Sandler2018MobileNetV2,False,False,False,False,False,0,context only,False,"No external paper matches the corrected split, endpoint population, frozen ROI/fusion policy, and inclusion rules."
Tejani2024CLAIM,False,False,False,False,False,0,context only,False,"No external paper matches the corrected split, endpoint population, frozen ROI/fusion policy, and inclusion rules."
