step,phase,gate_path,gate_exists,result_level,classification,reported_gate_passed,formal_model_acceptance_passed,submission_ready,inference_performed,test_images_accessed,next_step
1,step_01_pretraining_dataset_characterization,step_01_pretraining_dataset_characterization\outputs\gate_result.json,True,DIAGNOSTIC_COMPLETE,phase_evidence_complete,True,,,,False,step_02_fusion_freeze_confirmation
2,step_02_fusion_freeze_confirmation,step_02_fusion_freeze_confirmation\outputs\gate_result.json,True,VALIDATION_FREEZE_PASS,phase_evidence_complete,True,,,,False,step_03_final_inference_policy_freeze
3,step_03_final_inference_policy_freeze,step_03_final_inference_policy_freeze\outputs\gate_result.json,True,VALIDATION_FREEZE_PASS,phase_evidence_complete,True,,,,False,step_04_one_time_locked_test_evaluation_after_explicit_authorization
4,step_04_one_time_locked_test_evaluation_after_explicit_authorization,step_04_one_time_locked_test_evaluation_after_explicit_authorization\outputs\gate_result.json,True,FINAL_TEST_COMPLETE,phase_evidence_complete,False,,,,True,step_05_final_research_package
5,step_05_final_research_package,step_05_final_research_package\outputs\gate_result.json,True,FINAL_PROJECT_COMPLETE,complete_with_formal_model_failure,True,False,,,False,archive_and_manuscript_revision_without_test_reuse
6,step_06_manuscript_submission_readiness_and_archive,step_06_manuscript_submission_readiness_and_archive\outputs\gate_result.json,True,DIAGNOSTIC_COMPLETE,complete_with_formal_model_failure,True,False,False,,False,manual_manuscript_completion_and_external_reference_review
7,step_07_manuscript_evidence_and_declaration_scaffold,step_07_manuscript_evidence_and_declaration_scaffold\outputs\gate_result.json,True,MANUSCRIPT_EVIDENCE_SCAFFOLD_COMPLETE,complete_with_formal_model_failure,True,False,False,,False,owner_metadata_completion_then_venue_specific_finalization
8,step_08_venue_selection_and_owner_intake,step_08_venue_selection_and_owner_intake\outputs\gate_result.json,True,VENUE_DECISION_SUPPORT_COMPLETE,complete_with_formal_model_failure,True,False,False,,False,owner_confirmed_venue_specific_finalization
9,step_09_internal_peer_review_and_claim_consistency,step_09_internal_peer_review_and_claim_consistency\outputs\gate_result.json,True,INTERNAL_PEER_REVIEW_COMPLETE,complete_with_formal_model_failure,True,False,False,,False,owner_input_and_related_work_completion
10,step_10_related_work_evidence_and_comparability,step_10_related_work_evidence_and_comparability\outputs\gate_result.json,True,RELATED_WORK_EVIDENCE_COMPLETE,complete_with_formal_model_failure,True,False,False,,False,owner_confirmed_venue_specific_finalization
11,step_11_owner_submission_gate_and_finalization_handoff,step_11_owner_submission_gate_and_finalization_handoff\outputs\gate_result.json,True,OWNER_INPUT_REQUIRED,complete_with_formal_model_failure,,False,False,,False,edit_owner_inputs_and_rerun_step_11
12,step_12_public_external_dataset_audit_and_acquisition_plan,step_12_public_external_dataset_audit_and_acquisition_plan\outputs\gate_result.json,True,PUBLIC_EXTERNAL_DATA_AUDIT_COMPLETE,complete_with_formal_model_failure,True,False,False,,False,step_13_selected_external_dataset_ingestion_and_qc
13,step_13_3d_ircadb_ingestion_and_qc,step_13_3d_ircadb_ingestion_and_qc\outputs\gate_result.json,True,EXTERNAL_SOURCE_INGESTION_QC_PASS,complete_with_formal_model_failure,,False,,False,False,step_14_external_normalized_conversion_and_parity_qc
14,step_14_3d_ircadb_normalized_conversion_and_parity_qc,step_14_3d_ircadb_normalized_conversion_and_parity_qc\outputs\gate_result.json,True,EXTERNAL_NORMALIZED_CONVERSION_QC_PASS,phase_evidence_complete,,,,,,step_15_frozen_external_evaluation_contract
15,step_15_frozen_external_evaluation_contract,step_15_frozen_external_evaluation_contract\outputs\gate_result.json,True,EXTERNAL_EVALUATION_CONTRACT_FROZEN_AWAITING_AUTHORIZATION,complete_with_external_action_required,,,,False,,step_16_one_time_external_evaluation_after_explicit_authorization
16,step_16_one_time_external_evaluation_after_explicit_authorization,step_16_one_time_external_evaluation_after_explicit_authorization\outputs\gate_result.json,True,EXTERNAL_EVALUATION_COMPLETE,phase_evidence_complete,True,,,True,,
17,step_17_external_evaluation_evidence_validation_and_data_card,step_17_external_evaluation_evidence_validation_and_data_card\outputs\gate_result.json,True,EXTERNAL_GENERALIZATION_EVIDENCE_VALIDATED_WITH_CAVEATS,phase_evidence_complete,,,,False,,optional_read_only_error_review_or_second_external_dataset_contract; no Step16 tuning or rerun
18,step_18_source_label_concordance_and_failure_adjudication,step_18_source_label_concordance_and_failure_adjudication\outputs\gate_result.json,True,SOURCE_LABEL_CONCORDANCE_COMPLETE_EXPERT_REVIEW_REQUIRED,phase_evidence_complete,True,,,False,,optional blinded expert review of preserved panels and source annotations; otherwise stop analysis or freeze a second independent external dataset contract
19,step_19_external_evidence_manuscript_integration,step_19_external_evidence_manuscript_integration\outputs\gate_result.json,True,MANUSCRIPT_EXTERNAL_EVIDENCE_UPDATED_OWNER_INPUT_REQUIRED,complete_with_formal_model_failure,True,False,False,False,,owner completes declarations and verifies exact 3D-IRCADb-01 scholarly citation; optional expert annotation review
20,step_20_external_citation_verification_and_owner_readiness,step_20_external_citation_verification_and_owner_readiness\outputs\gate_result.json,True,EXTERNAL_CITATION_VERIFIED_OWNER_DECLARATIONS_REQUIRED,complete_with_external_action_required,True,,False,False,False,owner completes and certifies the 14 Step 11 fields using the verified citation and advisory dataset statements
