artifact,exists,expected_sha256,actual_sha256,passed
step_14_3d_ircadb_normalized_conversion_and_parity_qc\outputs\configuration.json,True,0971ba77f7cd8fb798306d111ea2d4d87d54256fd9cfef66a834a5d83799343c,0971ba77f7cd8fb798306d111ea2d4d87d54256fd9cfef66a834a5d83799343c,True
step_14_3d_ircadb_normalized_conversion_and_parity_qc\outputs\conversion_manifest.csv,True,3e0435e5999b7ef2bd473de5d8d0e0fd12f4ce0834b81e60541880c9aaffda1c,3e0435e5999b7ef2bd473de5d8d0e0fd12f4ce0834b81e60541880c9aaffda1c,True
step_14_3d_ircadb_normalized_conversion_and_parity_qc\outputs\conversion_qc_dashboard.png,True,51727a6dc04daf10ac46d16f8c71e31762aa080cb09a1851636b32c755d7bb4f,51727a6dc04daf10ac46d16f8c71e31762aa080cb09a1851636b32c755d7bb4f,True
step_14_3d_ircadb_normalized_conversion_and_parity_qc\outputs\conversion_qc_results.csv,True,a12034111cc05cffc8eac521ca92c578916f7f9ba73a255d9e5f80a1a20723c8,a12034111cc05cffc8eac521ca92c578916f7f9ba73a255d9e5f80a1a20723c8,True
step_14_3d_ircadb_normalized_conversion_and_parity_qc\outputs\gate_result.json,True,0e643c8e6c8cc9d16ebe0d8e58b749b7889467c5325c07bacc79bd99155e6577,0e643c8e6c8cc9d16ebe0d8e58b749b7889467c5325c07bacc79bd99155e6577,True
step_14_3d_ircadb_normalized_conversion_and_parity_qc\outputs\hu_profile.csv,True,8c31f6eb18754abd9623d3660e010276bf7406311fde1861211cecf50cad6f27,8c31f6eb18754abd9623d3660e010276bf7406311fde1861211cecf50cad6f27,True
step_14_3d_ircadb_normalized_conversion_and_parity_qc\outputs\input_verification.csv,True,b1fa613f2d7da5433b915c1d74bd8c93333e0338b4fcd3c48857efabd3cc3a58,b1fa613f2d7da5433b915c1d74bd8c93333e0338b4fcd3c48857efabd3cc3a58,True
step_14_3d_ircadb_normalized_conversion_and_parity_qc\outputs\label_pixel_profile.csv,True,63819edf44df75a1576146818729b7dc51a55be01e42860f311d19f5a77e2011,63819edf44df75a1576146818729b7dc51a55be01e42860f311d19f5a77e2011,True
step_14_3d_ircadb_normalized_conversion_and_parity_qc\outputs\overlap_and_containment_qc.csv,True,2ce5bf5c9f3e49138b47a1fefafef13f13d499808455e4c08ff62fc074ef6eff,2ce5bf5c9f3e49138b47a1fefafef13f13d499808455e4c08ff62fc074ef6eff,True
step_14_3d_ircadb_normalized_conversion_and_parity_qc\outputs\patient_geometry_profile.csv,True,4bb2514b8ec8446184859010a7776fde4747c9fd1013683eaa646e4f11c90ae7,4bb2514b8ec8446184859010a7776fde4747c9fd1013683eaa646e4f11c90ae7,True
step_14_3d_ircadb_normalized_conversion_and_parity_qc\outputs\provenance.json,True,814a01c3df92962a5cdf28be83103a7dac7ba654eb8b9b19f11d66a723ffec0c,814a01c3df92962a5cdf28be83103a7dac7ba654eb8b9b19f11d66a723ffec0c,True
step_14_3d_ircadb_normalized_conversion_and_parity_qc\outputs\source_to_normalized_parity.csv,True,3e0435e5999b7ef2bd473de5d8d0e0fd12f4ce0834b81e60541880c9aaffda1c,3e0435e5999b7ef2bd473de5d8d0e0fd12f4ce0834b81e60541880c9aaffda1c,True
step_14_3d_ircadb_normalized_conversion_and_parity_qc\outputs\step_13_signature_verification.csv,True,edd630e5f4f39569025814aa9cf751b4228e4cc5b6c1f21f5ba12075a3457c40,edd630e5f4f39569025814aa9cf751b4228e4cc5b6c1f21f5ba12075a3457c40,True
step_14_3d_ircadb_normalized_conversion_and_parity_qc\outputs\tumour_folder_vs_nonzero_audit.csv,True,2ce5bf5c9f3e49138b47a1fefafef13f13d499808455e4c08ff62fc074ef6eff,2ce5bf5c9f3e49138b47a1fefafef13f13d499808455e4c08ff62fc074ef6eff,True
